iter	Passed	Remaining
0	178	177980
1	197	98675
2	217	72432
3	244	60801
4	286	57005
5	332	55052
6	355	50477
7	375	46554
8	397	43722
9	418	41451
10	441	39690
11	465	38359
12	494	37538
13	515	36308
14	539	35417
15	567	34905
16	588	34035
17	607	33162
18	623	32182
19	643	31551
20	668	31154
21	706	31390
22	737	31333
23	761	30961
24	787	30728
25	806	30228
26	829	29878
27	848	29457
28	887	29708
29	911	29481
30	932	29155
31	957	28978
32	993	29124
33	1015	28865
34	1035	28548
35	1056	28285
36	1075	28000
37	1092	27665
38	1115	27478
39	1138	27318
40	1167	27303
41	1214	27711
42	1238	27564
43	1271	27636
44	1293	27444
45	1310	27170
46	1335	27074
47	1355	26879
48	1371	26626
49	1388	26384
50	1406	26169
51	1422	25926
52	1440	25744
53	1457	25533
54	1474	25327
55	1490	25120
56	1506	24918
57	1525	24772
58	1546	24657
59	1563	24496
60	1598	24602
61	1623	24555
62	1642	24433
63	1662	24315
64	1682	24199
65	1702	24088
66	1726	24046
67	1748	23967
68	1781	24032
69	1817	24143
70	1833	23996
71	1853	23895
72	1873	23791
73	1896	23731
74	1915	23628
75	1932	23499
76	1953	23416
77	1983	23446
78	2014	23481
79	2034	23394
80	2050	23261
81	2071	23186
82	2093	23134
83	2111	23030
84	2128	22911
85	2143	22778
86	2158	22647
87	2176	22559
88	2194	22459
89	2214	22393
90	2233	22310
91	2253	22238
92	2268	22123
93	2284	22017
94	2300	21919
95	2320	21853
96	2336	21755
97	2351	21639
98	2368	21553
99	2384	21459
100	2400	21369
101	2423	21333
102	2443	21278
103	2463	21222
104	2481	21149
105	2497	21062
106	2515	20992
107	2531	20909
108	2547	20823
109	2562	20732
110	2579	20657
111	2594	20566
112	2624	20597
113	2645	20563
114	2672	20564
115	2689	20494
116	2705	20419
117	2724	20367
118	2738	20272
119	2752	20185
120	2765	20087
121	2778	19993
122	2792	19912
123	2806	19823
124	2819	19737
125	2837	19679
126	2853	19615
127	2865	19523
128	2878	19438
129	2898	19400
130	2912	19321
131	2924	19229
132	2938	19157
133	2953	19084
134	2966	19006
135	2979	18928
136	2991	18845
137	3004	18767
138	3019	18701
139	3033	18634
140	3046	18562
141	3061	18499
142	3074	18425
143	3091	18376
144	3104	18306
145	3120	18251
146	3133	18182
147	3147	18119
148	3160	18049
149	3172	17978
150	3188	17929
151	3200	17855
152	3215	17801
153	3234	17766
154	3248	17709
155	3264	17663
156	3278	17604
157	3294	17555
158	3307	17495
159	3323	17450
160	3335	17382
161	3350	17329
162	3361	17260
163	3371	17187
164	3386	17137
165	3397	17070
166	3410	17010
167	3424	16959
168	3439	16910
169	3457	16878
170	3473	16837
171	3485	16780
172	3503	16746
173	3518	16702
174	3532	16655
175	3543	16592
176	3555	16534
177	3569	16483
178	3587	16456
179	3600	16400
180	3614	16356
181	3627	16301
182	3642	16260
183	3655	16211
184	3667	16158
185	3683	16121
186	3700	16087
187	3716	16052
188	3735	16027
189	3745	15967
190	3759	15921
191	3773	15878
192	3787	15835
193	3800	15788
194	3812	15740
195	3823	15682
196	3836	15637
197	3849	15593
198	3862	15546
199	3879	15518
200	3895	15486
201	3908	15440
202	3921	15397
203	3939	15370
204	3954	15335
205	3966	15289
206	3981	15251
207	3996	15216
208	4008	15172
209	4023	15134
210	4033	15083
211	4046	15039
212	4057	14993
213	4069	14947
214	4085	14915
215	4097	14873
216	4107	14820
217	4121	14784
218	4136	14750
219	4149	14711
220	4164	14679
221	4178	14645
222	4194	14613
223	4206	14573
224	4221	14539
225	4234	14503
226	4246	14460
227	4256	14413
228	4269	14373
229	4281	14334
230	4294	14296
231	4307	14258
232	4323	14233
233	4339	14206
234	4355	14179
235	4376	14166
236	4387	14126
237	4407	14111
238	4422	14083
239	4438	14053
240	4454	14028
241	4465	13988
242	4480	13959
243	4492	13917
244	4509	13897
245	4523	13864
246	4541	13844
247	4556	13816
248	4571	13786
249	4581	13745
250	4600	13727
251	4615	13699
252	4635	13686
253	4646	13646
254	4659	13612
255	4675	13586
256	4689	13558
257	4703	13527
258	4717	13497
259	4730	13462
260	4743	13429
261	4759	13406
262	4771	13372
263	4792	13362
264	4809	13338
265	4828	13323
266	4850	13316
267	4868	13297
268	4914	13354
269	4931	13332
270	4943	13299
271	4959	13273
272	4984	13273
273	5002	13255
274	5016	13224
275	5035	13209
276	5050	13182
277	5062	13146
278	5080	13128
279	5097	13106
280	5108	13071
281	5122	13043
282	5135	13010
283	5149	12981
284	5162	12951
285	5175	12919
286	5189	12892
287	5203	12864
288	5214	12828
289	5223	12789
290	5237	12760
291	5251	12733
292	5265	12704
293	5279	12679
294	5292	12647
295	5304	12616
296	5317	12587
297	5327	12550
298	5339	12519
299	5351	12486
300	5361	12451
301	5372	12417
302	5385	12388
303	5398	12358
304	5410	12328
305	5424	12302
306	5438	12275
307	5449	12242
308	5462	12216
309	5473	12183
310	5488	12158
311	5498	12123
312	5508	12090
313	5519	12059
314	5530	12026
315	5540	11991
316	5550	11958
317	5560	11926
318	5571	11895
319	5582	11863
320	5591	11826
321	5603	11798
322	5616	11772
323	5636	11760
324	5658	11751
325	5695	11775
326	5724	11782
327	5754	11790
328	5777	11782
329	5802	11780
330	5824	11772
331	5854	11779
332	5886	11790
333	5905	11776
334	5922	11755
335	5934	11727
336	5944	11695
337	5953	11659
338	5966	11633
339	5977	11602
340	5986	11568
341	5998	11540
342	6008	11509
343	6018	11477
344	6032	11452
345	6046	11428
346	6057	11399
347	6070	11372
348	6081	11344
349	6097	11323
350	6108	11295
351	6124	11274
352	6134	11244
353	6145	11214
354	6157	11186
355	6173	11167
356	6185	11141
357	6196	11111
358	6207	11083
359	6219	11056
360	6228	11025
361	6240	10998
362	6251	10969
363	6265	10946
364	6275	10918
365	6294	10904
366	6308	10881
367	6320	10854
368	6333	10830
369	6344	10802
370	6361	10785
371	6370	10754
372	6380	10724
373	6393	10700
374	6403	10672
375	6417	10649
376	6429	10624
377	6445	10606
378	6460	10585
379	6472	10560
380	6486	10537
381	6500	10516
382	6516	10498
383	6526	10469
384	6538	10444
385	6549	10417
386	6563	10396
387	6573	10368
388	6583	10341
389	6597	10319
390	6606	10290
391	6617	10263
392	6627	10236
393	6638	10210
394	6650	10185
395	6661	10159
396	6672	10134
397	6683	10109
398	6700	10092
399	6712	10069
400	6725	10045
401	6736	10020
402	6748	9997
403	6760	9973
404	6769	9945
405	6784	9925
406	6798	9905
407	6809	9880
408	6820	9855
409	6831	9830
410	6841	9804
411	6852	9780
412	6862	9753
413	6873	9729
414	6883	9703
415	6895	9679
416	6908	9658
417	6920	9635
418	6929	9609
419	6941	9585
420	6955	9565
421	6968	9545
422	6983	9525
423	6993	9501
424	7004	9476
425	7015	9452
426	7024	9426
427	7035	9403
428	7044	9376
429	7055	9352
430	7066	9328
431	7076	9303
432	7087	9280
433	7098	9257
434	7108	9232
435	7121	9211
436	7134	9192
437	7148	9172
438	7159	9149
439	7169	9125
440	7181	9103
441	7192	9080
442	7203	9056
443	7214	9034
444	7226	9012
445	7237	8990
446	7249	8968
447	7259	8944
448	7269	8921
449	7280	8898
450	7293	8877
451	7305	8857
452	7315	8832
453	7324	8808
454	7337	8788
455	7350	8769
456	7362	8747
457	7375	8727
458	7388	8708
459	7402	8690
460	7415	8670
461	7428	8650
462	7439	8628
463	7449	8605
464	7460	8583
465	7470	8560
466	7479	8536
467	7490	8515
468	7503	8495
469	7516	8475
470	7526	8453
471	7535	8430
472	7550	8412
473	7562	8392
474	7573	8371
475	7585	8350
476	7598	8331
477	7615	8316
478	7630	8299
479	7644	8281
480	7653	8258
481	7664	8237
482	7677	8217
483	7690	8199
484	7703	8180
485	7716	8160
486	7727	8139
487	7738	8119
488	7753	8101
489	7767	8084
490	7778	8063
491	7789	8043
492	7800	8021
493	7811	8001
494	7821	7979
495	7834	7960
496	7846	7941
497	7859	7922
498	7872	7904
499	7882	7882
500	7890	7859
501	7900	7837
502	7911	7817
503	7922	7796
504	7933	7776
505	7943	7755
506	7953	7733
507	7962	7711
508	7974	7692
509	7992	7679
510	8009	7664
511	8019	7643
512	8036	7629
513	8054	7615
514	8066	7596
515	8076	7575
516	8088	7556
517	8097	7534
518	8106	7513
519	8117	7492
520	8129	7474
521	8139	7453
522	8151	7434
523	8161	7413
524	8175	7397
525	8190	7380
526	8204	7363
527	8226	7353
528	8240	7336
529	8249	7315
530	8265	7299
531	8276	7280
532	8288	7262
533	8300	7243
534	8311	7224
535	8321	7203
536	8333	7185
537	8344	7165
538	8354	7145
539	8364	7125
540	8375	7106
541	8386	7086
542	8396	7066
543	8412	7051
544	8427	7035
545	8440	7018
546	8458	7004
547	8485	6999
548	8503	6985
549	8518	6969
550	8533	6953
551	8548	6937
552	8557	6917
553	8567	6897
554	8577	6877
555	8588	6858
556	8598	6838
557	8607	6817
558	8616	6797
559	8626	6778
560	8637	6759
561	8646	6738
562	8658	6720
563	8672	6704
564	8686	6687
565	8697	6668
566	8713	6654
567	8726	6636
568	8737	6618
569	8751	6601
570	8771	6590
571	8784	6573
572	8800	6558
573	8819	6545
574	8833	6529
575	8850	6514
576	8864	6498
577	8887	6488
578	8906	6476
579	8923	6461
580	8935	6443
581	8951	6428
582	8965	6412
583	8979	6396
584	8992	6379
585	9010	6365
586	9026	6350
587	9044	6337
588	9066	6326
589	9087	6315
590	9128	6317
591	9156	6310
592	9169	6293
593	9187	6279
594	9199	6261
595	9218	6249
596	9237	6235
597	9301	6252
598	9327	6244
599	9372	6248
600	9407	6245
601	9457	6252
602	9476	6239
603	9509	6234
604	9541	6229
605	9559	6214
606	9585	6206
607	9604	6192
608	9631	6183
609	9644	6166
610	9656	6147
611	9666	6128
612	9678	6110
613	9686	6089
614	9700	6072
615	9711	6053
616	9721	6034
617	9731	6015
618	9741	5995
619	9758	5980
620	9772	5964
621	9786	5947
622	9799	5930
623	9813	5913
624	9824	5894
625	9839	5878
626	9851	5860
627	9861	5841
628	9873	5823
629	9884	5805
630	9897	5788
631	9907	5768
632	9917	5750
633	9927	5730
634	9939	5713
635	9950	5695
636	9959	5675
637	9972	5658
638	9985	5641
